RAZON SOCIAL,RFC,Segmentos
"AUTO PARTES Y MAS, SA. de CV.",32670708,Autopartes
CONSTRUCCIONES OPTIMAS Y CREACIONES MONTERREY SA DE CV,32671013,NC Edificación Comercial
MAQUINARIA MONROY S.A DE C.V,33642542,Maquinaria y Equipo
SISTEMAS DE SALUD DEL DR .SIMI S.A DE C.V,33744356,Hospitales Privados
GI CONSTRUCTORA HUMA S DE RL DE C.V.,34442438,NC Edificación Comercial
TECUEXES INMOBILIARIA S DE RL DE CV,34851023,Oficinas e Inmobiliarias
CONSTRUCCIONES Y VIVIENDAS TAPATIAS SA DE CV,35198367,NC Edificación Comercial
INMOBILIARIA Y CONSTRUCTORA CEDILLO S.A DE C.V.,35983578,NC Vivienda Media
"RO CONSTRUCCIONES, S.A DE C.V.",35996926,NC Edificación Comercial
DE GARSE CONSTRUCTORA S.A. DE C.V.,36543337,NC Edificación Comercial
SECRETARIA DE EDUCACION PUBICA SIN TIPO DE SOCIEDAD,36627036,Educacion Publica
CONSTRUCTORA E INMOBILIARIA CAROME S. A. DE C. V.,36893929,NC Vivienda Media
PICACHO AUTOMOTRIZ SA DE CV,37200087,Agencias Automotrices
MILUAR CONSTRUCCIONES SA DE CV,37508788,NC Edificación Comercial
COMERCIALIZADORA DE PERSIANAS GABIN SA DE CV,38254740,Pequeños Negocios
MAGNA CONSTRUCTORA RAC SA DE CV,38317048,NC Edificación Comercial
COMERCIALIZADORA OULU SA DE CV,38317411,Pequeños Negocios
AUTOS DE CALIDAD CORTES S.A. DE C.V.,38647265,Agencias Automotrices
REPRESENTACIONES Y COMERCIALIZADORA LUCA S DE RL DE CV,38678498,NC Edificación Comercial
"A.O.L. CONSTRUCCIONES, S.A. DE C.V.",38870840,NC Edificación Comercial
"MEADE PONS CONSTRUCCIONES,S.A. DE C.V.",39258198,NC Edificación Comercial
ACONDICIONAMIENTO QUIMICO DEL AGUA S.A DE C.V,39903209,Industria Química
CONSTRUCCIONES Y PROYECTOS GAARVE S A DE C V,39916882,NC Edificación Comercial
CONSTRUCTORA COINSA S.A DE C.V,40504265,NC Edificación Comercial
LOS BISQUETS DE SATELITE SA DE CV,40821876,Restaurantes
MADERA ASERRADA DASUNOMICA EXPLOTADA RACIONALMENTE Y APROVECHADA S.A DE C.V,41065541,Carpinterías
SINDICATO UNICO DE TRABAJADORES DEL COLEGIO NAL DE EDUCACION PROFESIONAL TECNICA,41121863,Generación de Electricidad
INMOBILIARIA STEELE SA DE CV,41121898,Oficinas e Inmobiliarias
CONSTRUCTORA E INMOBILIARIA CPG SA DE CV,41135651,NC Edificación Comercial
INMOBILIARIA LOS ARGUELLOS S.A DE C.V,41246784,Oficinas e Inmobiliarias
BRITANICO DE MORELOS S.C,41920544,Educación Privada
PROYECTOS Y CONSTRUCCIONES ICARO S.A. DE C.V.,41960463,Acero
HIDRODINAMICA Y QUIMICA APLICADA S.A DE C.V,42370303,Industria Química
SERVICIOS INTEGRALES DE COMUNICACION DE DATOS S.A DE C.V,42370556,Pequeños Negocios
COMERCIALIZADORA DE LA CONFEDERACION NAL. GANADERA SA DE CV,42408158,Pequeños Negocios
DISTRIBUIDORA DE PORCINOS SA DE CV,42408324,Manufactura Alimentos
COMERCIALIZADORA ABASTECEDORA E IMPORTADORA HENFO SA. DE C.V,42563580,Pequeños Negocios
"CONSTRUCTORA GOLFO TAMPICO, S.A. DE C.V.",43575275,NC Edificación Comercial
CONSTRUCTORA Y EDIFICADORA KGB S.A.DE C.V.,43938561,NC Vivienda Interes Social
SDN ESCUELA MILITAR DE TRANSMISIONES,45856712,Seguridad Nacional
UNIVERSIDA INSURGENTES PLATEL TLALNEPANTLA SC,46267055,Educación Privada
COLEGIO I CHANTLI SC,46267826,Educación Privada
"TECNICA Y EQUIPOS HIDRONEUMATICOS, S. A DE C. V.",46267985,Maquinaria y Equipo
CAMIONERA DISEL DE CUATITLAN S.A DE C.V,46472240,Gasolineras
INDUSTRIAS QUETZAL S DE R.L DE CV,46918666,NC Edificación Comercial
SERVICIOS Y MANTENIMIENTO ELIPSE S.A.DE C.V.,47156889,Herrerías
ESC. PRIMARIA ALFREDO V. BONFIL,47449783,Educacion Publica
SANTA TERESA CONSTRUCCIONES SA DE CV,48191960,NC Edificación Comercial
SDN UHM-5 BAM 13-1,48358489,Seguridad Nacional
CONSTRUCCION Y DECORACION EV SA DE CV,48954952,NC Edificación Comercial
"CONSTRUCCIONES GOMEZ LOZANO ,S.A de C.V",50669161,NC Edificación Comercial
"TECNOLOGIA MEDICA INTERAMERICANA, S.A.DE C.V.",51089929,Hospitales Privados
CONSTRUCAR INMOBILIARIA S.A. DE C.V.,51118034,NC Vivienda Media
PLASTICOS EBACARSA S. A,51270576,Industria Química
CERVECERIA LA SILLA S.A DE C.V,51443760,Manufactura Bebidas
COMERCIALIZADORA ELECTRICA SAN MATEO SA DE CV,51527626,Pequeños Negocios
"ORISSA CONSTRUCCIONES, S.A. DE C.V",51665600,NC Edificación Comercial
MULTICONSTRUCCIONES CALVARIO S A DE C V,51775893,NC Edificación Comercial
APTERA CONSTRUCTORA S.A. DE C.V.,51902084,NC Edificación Comercial
CONSTRUCCIONES METALICAS Y CIVILES LOMO SA DE CV,52407600,Estructuras Metálicas
CONSTRUCTORA Y SERVICIOS INTEGRALES SA DE CV,52476428,NC Edificación Comercial
GRUPO MDI CONSTRUCCIONES S.A DE C.V,52478284,Petróleo y Gas
FARMACIAS BENAVIDES S A B DE C V,52483057,Farmacias
ROBERTET DE MEXICO S.A DE C.V,53259961,Industria Química
"SERVICIOS INTEGRALES EN PROTECCION CIVIL LEON Y ASICIADOS, S.A. DE C.V.",53357736,Oficinas e Inmobiliarias
FARMACIA GUADALAGARA SA DE CV,54042529,Farmacias
CONSTRUCTORA Y EDIFICADORA STEEL S.A. DE C.V.,54099882,NC Vivienda Media
GRUPO DIAGNOSTICO MEDICO PROA S.A. DE C.V.,54648767,Hospitales Privados
CENTRAL DE GAS DEL BAJIO S.A. DE C.V.,54675307,Gaseras
CONSTRUCTORA E INMOVILIARIA GN SA DE C.V.,54771516,NC Vivienda Media
"UNIDAD DE DIAGNOSTICO POR IMAGEN DE HUAUCHINANGO, S.C.",55568326,Hospitales Privados
"TEXTILES CASTELL, S.A. DE C.V.",56507994,Manufactura Industria Textil
"CONSTRUCTORA KAYDEN S,A DE C,V",56689981,NC Edificación Comercial
APTERA CONSTRUCTORA SA DE CV,56704828,NC Edificación Comercial
TELEBACHILLERATO No 286,56940506,Educacion Publica
HOTEL MOTEL LA FRONTERA SA DE CV,56954009,Hoteles
OBRAS PROYECTOS Y SISTEMAS S.A C.V,57262224,NC Edificación Comercial
GRUPO CONSTRUCTORA SAUXI SA DE CV,57318629,NC Edificación Comercial
SEP/DGETI/CETIS No.155,57654443,Educacion Publica
SERVICIOS INTEGRALES EN SEGURIDAD PRIVADA Y SERVICIOS ADMINISTRATIVOS GRUPO FENIX,58915389,Oficinas e Inmobiliarias
CONSERVACION DE INMUEBLES Y EQUIPAMIENTO DEL SISTEMA SALUD S.A DE C.V.,58915411,Hospitales Privados
ICE UNIVERSIDAD SC,58915647,Educación Privada
CONJUNTO EMPRESARIAL VENDABAL SA. DE C.V.,59475782,Educación Privada
SEP DGCFT CECATI No. 172,60132202,Educacion Publica
DISEÑO Y CONSTRUCCIONES BARBA SA DE CV,60146131,NC Edificación Comercial
CLIENTE MOSTRADOR,60454018,Concesionarios Comex
DIOSES DE MEXICALI A.R,61574214,Iglesias
HOTELES COLONIAL SA DE CV,61588087,Hoteles
BOIFORT CONSTRUCCIONES SA. DE CV.,61771441,NC Edificación Comercial
TELECONSTRUCTORA MABAS SA DE CV,61826074,NC Edificación Comercial
"SECRETARIA EDUCACION PUBLICA, SIN TIPO DE SOCIEDAD",62582045,Educacion Publica
CONSTRUCCIONES AURIKA SA DE CV.,62694111,NC Edificación Comercial
CONSTRUCCIONES Y MONTAJES DE MEXICO,62736395,NC Edificación Comercial
CONSTRUCTORA VITAM S.A. DE C.V.,63800083,NC Edificación Comercial
AUTOMOTRIZ SANJE S.A. DE C.V.,63800273,Agencias Automotrices
PROYECTOS Y CONSTRUCIONES PARMA SA DE CV,63800615,Acero
HIPOTECARIA SU CASITA SA DE CV SOFOM ENR,63804049,Bancos
CENTRO EDUCATIVO PARA PEQUES SC,63804150,Educación Privada
"COLEGIO SUIZO DE MEXICO, A.C.",63814500,Educación Privada
CENTRO DE APRENDIZAJE VIVENCIAL S.C.,63814603,Educación Privada
INMOBILIARIA GALDA SA DE CV,63828082,Oficinas e Inmobiliarias
CONSTRUCCIONES INAAE SA DE CV,63968073,NC Edificación Comercial
AGROQUIMICOS DE ACAMBARO S.A. DE C.V.,AAC870501JS3,Industria Química
